age group,home team,away team,court number,date and time
Under 12's,Little Sutton Ice,Sparks,Court 3,25/04/2026 16:00
Under 12's,Lyndon Crystals,Swan,Court 4,25/04/2026 16:00
Under 13's,MK Netters,AP Saints,Court 1,25/04/2026 16:10
Under 13's,BB Sparklers,Durham,Court 2,25/04/2026 16:10
Under 13's,RV Leapers,Marlow Kites,Court 3,25/04/2026 16:10
Under 13's,Lyndon Emeralds,Olney Galaxy,Court 4,25/04/2026 16:10
Under 11's,Lyndon Centres Sapphires,Sparks,Court 3,25/04/2026 15:50
Under 11's,Turnford,Hatfield,Court 4,25/04/2026 15:50
Under 11's,Hertford Hornets,Norfolk United,Court 5,25/04/2026 15:50
Under 11's,MK Netters,Durham,Court 1,25/04/2026 16:20
Under 12's,MK Netters,Durham,Court 1,25/04/2026 16:30
Under 12's,Woodley,Sparks,Court 2,25/04/2026 16:30
Under 12's,AP Saints,Swan,Court 3,25/04/2026 16:30
Under 12's,Little Sutton ice,Marlow Kites,Court 4,25/04/2026 16:30
Under 13's,Durham,MK Netters,Court 1,25/04/2026 16:40
Under 13's,Marlow Kites,AP Saints,Court 2,25/04/2026 16:40
Under 13's,BB Sparklers,Olney Galaxy,Court 3,25/04/2026 16:40
Under 13's,RV Leapers,Norfolk United,Court 4,25/04/2026 16:40
Under 10's,AP Saints,Sarum Hall School,Court 5,25/04/2026 09:00
Under 10's,Little Sutton Green,Hatfield,Court 5,25/04/2026 09:15
Under 10's,Turnford,Hertford Hornets,Court 5,25/04/2026 09:30
Under 10's,MK Netters,Sarum Hall School,Court 5,25/04/2026 09:45
Under 10's,Hertford Hornets,AP Saints,Court 5,25/04/2026 10:00
Under 10's,Little Sutton Green,Turnford,Court 5,25/04/2026 10:15
Under 10's,Hatfield,MK Netters,Court 5,25/04/2026 10:30
Under 10's,Sarum Hall School,Hertford Hornets,Court 5,25/04/2026 10:45
Under 10's,AP Saints,Little Sutton Green,Court 5,25/04/2026 11:00
Under 10's,MK Netters,Hertford Hornets,Court 5,25/04/2026 11:15
Under 10's,Turnford,Hatfield,Court 5,25/04/2026 11:30
Under 10's,Sarum Hall School,Little Sutton Green,Court 5,25/04/2026 11:45
Under 10's,MK Netters,Turnford,Court 5,25/04/2026 12:00
Under 10's,Hatfield,AP Saints,Court 5,25/04/2026 12:15
Under 10's,Hertford Hornets,Little Sutton Green,Court 5,25/04/2026 12:30
Under 10's,Turnford,AP Saints,Court 5,25/04/2026 12:45
Under 10's,Hertford Hornets,Sarum Hall School,Court 5,25/04/2026 13:00
Under 10's,Little Sutton Green,MK Netters,Court 5,25/04/2026 13:15
Under 10's,Turnford,Hatfield,Court 5,25/04/2026 13:30
Under 10's,Little Sutton Green,Sarum,Court 5,25/04/2026 13:45
Under 10's,MK Netters,AP Saints,Court 5,25/04/2026 14:00
Under 14's,AP Saints,Norfolk United,Court 5,25/04/2026 14:40
